age,hours,capital_gain,sex,education,income
32,47,181.52,male,high,>50K
40,44,8469.24,female,medium,>50K
30,25,4743.33,female,low,<=50K
39,33,14875.27,female,medium,>50K
21,43,9869.74,female,medium,>50K
32,53,12817.47,female,high,>50K
21,24,1130.83,female,medium,<=50K
31,33,3927.96,male,low,<=50K
32,21,5816.0,male,low,<=50K
37,52,6032.13,female,high,>50K
50,59,2436.65,male,low,>50K
24,25,10208.44,female,medium,>50K
18,32,4862.2,male,medium,>50K
34,23,11699.17,male,high,>50K
33,37,8486.32,male,high,>50K
49,47,3377.45,male,medium,>50K
57,35,11043.51,female,medium,>50K
53,51,13824.27,male,low,>50K
37,26,12876.65,female,high,<=50K
60,36,9392.41,female,medium,>50K
41,52,6032.13,male,low,<=50K
42,31,1948.1,female,low,<=50K
23,28,3303.49,male,high,<=50K
64,46,7651.34,female,low,<=50K
46,35,9904.15,male,medium,>50K
63,36,7454.02,female,medium,>50K
20,28,3303.49,male,high,>50K
42,27,13688.19,female,medium,>50K
62,49,1394.86,male,low,>50K
23,48,7047.36,female,medium,>50K
51,27,14014.29,male,low,>50K
57,44,12656.77,female,low,>50K
32,57,5097.17,male,low,<=50K
62,30,14805.5,female,high,>50K
56,41,6466.99,male,low,>50K
27,47,13948.61,female,low,<=50K
21,42,5749.79,male,high,>50K
52,34,5793.06,female,high,>50K
30,31,2472.96,male,medium,>50K
52,45,1256.1,female,medium,>50K
62,31,10981.2,male,low,>50K
37,52,5336.36,male,low,>50K
55,52,10593.53,male,low,<=50K
58,45,13726.78,male,low,<=50K
39,36,11619.78,male,high,>50K
39,21,4435.31,female,medium,<=50K
64,45,5509.52,female,high,>50K
21,27,4362.43,female,high,<=50K
61,43,11989.05,female,high,>50K
21,42,5305.17,male,low,<=50K
53,32,378.49,female,medium,>50K
29,59,2952.95,male,high,>50K
55,54,3170.78,female,medium,>50K
38,55,3247.92,male,high,>50K
20,27,7412.99,female,low,>50K
60,36,7485.14,female,high,>50K
20,49,4415.46,female,medium,>50K
30,51,5675.54,male,low,<=50K
53,22,10678.32,female,high,>50K
31,37,12677.15,female,low,<=50K
50,59,2740.03,male,low,>50K
28,42,11576.58,male,low,<=50K
56,44,13726.78,male,low,>50K
22,33,7552.54,female,medium,>50K
53,35,7267.72,male,high,>50K
23,58,11384.99,male,low,>50K
46,29,8269.18,male,high,>50K
34,38,7682.24,male,medium,>50K
53,51,10593.53,male,low,<=50K
32,27,8960.18,male,medium,<=50K
39,43,3784.55,female,high,>50K
42,27,9752.96,female,high,>50K
42,35,9904.15,male,high,>50K
59,32,2301.82,male,high,>50K
22,36,12459.47,female,high,>50K
23,54,9436.21,male,high,>50K
19,59,12295.3,male,high,>50K
52,23,14014.29,female,low,<=50K
